trace,l1_fraction,l2_multiplier,policy,seed,replicate,window,selector,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi3,0,1,600,learned,2,10240.0,10240.0,13926.4,14848,0.0,1.0,0,33607.5,-0.11221580756846622
conversation_trace,0.0025,1,pi3,0,1,600,lfu,2,6465.5,6465.5,7132.3,7299,0.0,1.0,0,33607.5,0.14669426228682997
conversation_trace,0.0025,1,pi3,0,1,600,lru,2,4096.0,4096.0,5734.4,6144,0.0,1.0,0,33607.5,0.023141725514457357
conversation_trace,0.0025,1,pi3,0,1,600,next_use,2,4096.0,4096.0,5734.4,6144,0.0,1.0,0,33607.5,0.43495774853569646
conversation_trace,0.0025,1,pi3,0,1,end,count,2,3840.0,3840.0,6912.0,7680,0.5,0.5,0,34119.5,0.3252324538000164
conversation_trace,0.0025,1,pi3,0,1,end,learned,2,9668.5,9668.5,15040.9,16384,0.0,1.0,0,34119.5,0.0028149786747392602
conversation_trace,0.0025,1,pi3,0,1,end,lfu,2,4870.0,4870.0,6403.6,6787,0.0,1.0,0,34119.5,0.12286639898271737
conversation_trace,0.0025,1,pi3,0,1,end,lru,2,3840.0,3840.0,6912.0,7680,0.5,0.5,0,34119.5,-0.04437552928823038
conversation_trace,0.0025,1,pi3,0,1,end,next_use,2,3840.0,3840.0,6912.0,7680,0.5,0.5,0,34119.5,0.3483556492152646
conversation_trace,0.0025,1,pi3,0,2,600,count,2,5566.5,5566.5,6742.9,7037,0.0,1.0,0,24832.0,0.10507100506904826
conversation_trace,0.0025,1,pi3,0,2,600,learned,2,8126.5,8126.5,8483.7,8573,0.0,1.0,0,24832.0,0.2881505873984662
conversation_trace,0.0025,1,pi3,0,2,600,lfu,2,11264.0,11264.0,14131.2,14848,0.0,1.0,0,24832.0,0.00046288224408486123
conversation_trace,0.0025,1,pi3,0,2,600,lru,2,5566.5,5566.5,6742.9,7037,0.0,1.0,0,24832.0,0.03189899323331169
conversation_trace,0.0025,1,pi3,0,2,600,next_use,2,5566.5,5566.5,6742.9,7037,0.0,1.0,0,24832.0,0.1437531659494544
conversation_trace,0.0025,1,pi3,0,2,end,count,2,4929.5,4929.5,7025.1,7549,0.0,1.0,0,23998.5,0.028116231593904195
conversation_trace,0.0025,1,pi3,0,2,end,learned,2,6781.0,6781.0,8624.2,9085,0.0,1.0,0,23998.5,0.21126798713910125
conversation_trace,0.0025,1,pi3,0,2,end,lfu,2,14782.5,14782.5,19340.5,20480,0.0,1.0,0,23998.5,-0.08398337135384612
conversation_trace,0.0025,1,pi3,0,2,end,lru,2,4929.5,4929.5,7025.1,7549,0.0,1.0,0,23998.5,0.15253646140822383
conversation_trace,0.0025,1,pi3,0,2,end,next_use,2,4929.5,4929.5,7025.1,7549,0.0,1.0,0,23998.5,0.13288667121381792
conversation_trace,0.0025,1,pi3,1,0,600,count,8,16704.0,19777.5,30104.4,31363,0.125,0.875,0,35503.625,0.04371756311417289
conversation_trace,0.0025,1,pi3,1,0,600,learned,8,27103.25,30142.5,37171.2,37888,0.0,1.0,0,35503.625,-0.15307633779256066
conversation_trace,0.0025,1,pi3,1,0,600,lfu,8,26143.25,30142.5,36004.3,37888,0.0,1.0,0,35503.625,0.03139861745793307
